article,original,compare,original_photo,compare_photo,distance
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Administrative_Districts_and_Neighborhoods_of_the_City_of_Bel%C3%A9m.png,0.9481713324785233
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Bandeira_de_Bel%C3%A9m.svg.png,0.9331805780529976
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Bel%C3%A9m_International_Airport%2C_2018_%281%29.jpg,0.8563245534896851
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Bel%C3%A9m_Product_Exports_%282020%29.svg.png,0.9355538710951805
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Belem-StoAlexandre1.jpg,0.8071994781494141
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Belem-TeatroPaz1.jpg,0.8208260238170624
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Bras%C3%A3o_de_Bel%C3%A9m_do_Par%C3%A1.png,0.9435198605060577
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Brazil_Bel%C3%A9m_Las_Docas_02.jpg,0.8576089441776276
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Brazil_Para_Belem_location_map.svg.png,0.9378610663115978
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Brazil_State_Para.svg.png,0.9373017400503159
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-C%C3%ADrio_de_Nazar%C3%A9_-_Garnier_Sampaio_%2815534517785%29.jpg,0.8948684260249138
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Captura_de_Tela_2015-05-09_%C3%A0s_17.08.10.png,0.85748390853405
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Catedral_Metropolitana_de_Bel%C3%A9m.jpg,0.7935122400522232
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Est%C3%A1dio_Ol%C3%ADmpico_-_Par%C3%A1.jpg,0.9399601370096207
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Faf%C3%A1_de_Bel%C3%A9m_2014.jpg,0.9781498834490776
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Feira_do_A%C3%A7a%C3%AD.jpg,0.9491239786148071
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Festas_de_Nossa_Senhora_da_Nazar%C3%A9%2C_Bel%C3%A9m%2C_Par%C3%A1_-_Outubro_de_2013_%2856%29.jpg,0.8348351567983627
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-L1010748-L1010765_copie_%28cropped%29.jpg,0.8917640298604965
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Mercado_Ver-o-Peso_e_Catedral_%2834743429846%29.jpg,0.8885107561945915
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Onibus_articulados_no_terminal.jpg,0.8529835939407349
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Parreiras-conquista.jpg,0.915627047419548
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Ponte_Almir_Gabriel_3-2.jpg,0.9153431430459023
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Relief_Map_of_Brazil.jpg,0.9432974942028522
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Teatro_da_Paz_3.jpg,0.808851882815361
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Vegeta%C3%A7%C3%A3o_sobre_o_A%C3%A7ude_Bol%C3%B4nia.jpg,0.9493549540638924
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Ver-oPeso-Belem.jpg,0.8605746179819107
belem,pt,en,2240px-1%C2%AA_Igreja_Presbiteriana_de_Bel%C3%A9m.jpg,2240px-Vitregias02.jpg,0.8992309123277664
