article,original,compare,original_photo,compare_photo,distance
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,0.0
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-AvenidaAfonsoPena_e_PalacioDasArtes.jpg,0.8112069517374039
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Avenida_Afonso_Pena%2C_2013.jpg,0.7917411178350449
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Bandeira-de-Belo-Horizonte.svg.png,0.9498267807066441
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Beauties_On_The_Water_%28192495081%29.jpeg,0.8967077061533928
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Belo_Horizonte_%282%29.jpg,0.8094669431447983
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Belo_Horizonte_at_night.jpg,0.9174117222428322
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Brazil_State_MinasGerais.svg.png,0.9478306844830513
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Casa_Kubitschek_frente_01.jpg,0.8508644849061966
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Edif%C3%ADcio_Aureliano_Chaves_%283%29.jpg,0.9014549776911736
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Entradapucminas.jpg,0.8392051756381989
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Inauguracaobh.jpg,0.8248234689235687
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Ip%C3%AA_na_Pra%C3%A7a_da_Liberdade_2_By_Sergio_Cirino_2006.JPG,0.8540909290313721
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-Memorial_Minas_Gerais_Vale.jpg,0.901495598256588
belo_horizonte,pt,en,2240px-3_-_Aeroporto_Internacional_de_BH_-_Foto_A%C3%A9rea.jpg,2240px-MinasGerais_Municip_BeloHorizonte.svg.png,0.9441527985036373
