article,original,compare,original_photo,compare_photo,distance
data-quentes/copa_2022/,pt,fr,2240px-Map_of_2018_FIFA_World_Cup_bids.svg.png,2240px-Qatar_adm_location_map.svg.png,0.769796833395958
data-quentes/copa_2022/,pt,fr,2240px-2022_FIFA_World_Cup_Qatar_0%E2%80%932_Ecuador_-_%2821%29.jpg,2240px-Education_city_stadium_2022.jpg,0.7334144115447998
data-quentes/copa_2022/,en,it,2240px-Rusia_entreg%C3%B3_el_relevo_de_la_antorcha_de_la_Copa_del_Mundo_a_Qatar.jpg,2240px-Lusail_Iconic_Stadium_-_2022_FIFA_WC.jpg,0.9305314868688583
data-quentes/copa_2022/,pt,fr,2240px-Qatar_Doha_location_map.svg.png,2240px-Uruguay_vs_Portugal.jpg,0.9036534577608109
data-quentes/copa_2022/,pt,fr,2240px-Map_of_2018_FIFA_World_Cup_bids.svg.png,2240px-Qatar_Doha_location_map.svg.png,0.8221331238746643
data-quentes/copa_2022/,en,it,2240px-Al-Rihla_%28cropped%29.jpg,2240px-2022_FIFA_World_Cup_Korea_Uruguay_01.jpg,0.9118725210428238
data-quentes/copa_2022/,es,it,2240px-2022_FIFA_World_Cup_Qatar_0%E2%80%932_Ecuador_-_%283%29.jpg,2240px-Argentina_vs_mexico_festejo_gol_02.jpg,0.8089365363121033
data-quentes/copa_2022/,es,de,2240px-Rusia_entreg%C3%B3_el_relevo_de_la_antorcha_de_la_Copa_del_Mundo_a_Qatar.jpg,2240px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%29.svg.png,0.942962534725666
data-quentes/copa_2022/,es,de,2240px-Argentina_vs_mexico_atajada_dibu.jpg,2240px-Khalifa_Stadium%2C_Doha%2C_Brazil_vs_Argentina_%282010%29.jpg,0.874006062746048
data-quentes/copa_2022/,pt,zh,2240px-2022_FIFA_World_Cup_at_Al_Thumama_Stadium.jpg,2240px-2022_world_cup.png,0.8974084258079529
data-quentes/copa_2022/,en,it,2240px-Al_Bayt_Stadium.jpg,2240px-ARG_Line-up_-_ARG_vs_MEX_for_2022_FIFA_WC.jpg,0.91292904317379
data-quentes/copa_2022/,pt,de,2240px-2022_world_cup.png,2240px-Flag_of_Argentina.svg.png,0.8713068813085556
data-quentes/copa_2022/,en,es,2240px-Iran_national_team_fan_01.jpg,2240px-2022_FIFA_World_Cup_Match_24%2C_Argentina_v_Mexico_-_04.jpg,0.8513856828212738
data-quentes/copa_2022/,es,ru,2240px-2022_FIFA_World_Cup_Qatar_0%E2%80%932_Ecuador_-_%2821%29.jpg,2240px-2022_world_cup.png,0.9397934935986996
data-quentes/copa_2022/,es,it,2240px-Qatar_adm_location_map.svg.png,2240px-28_10_2019_Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_%2848977932316%29.jpg,0.932855099439621
data-quentes/copa_2022/,es,it,2240px-Al_Janoub_Stadium.jpg,2240px-ARG_Line-up_-_ARG_vs_MEX_for_2022_FIFA_WC.jpg,0.8837181776762009
data-quentes/copa_2022/,es,zh,2240px-Stade_de_Lusail_match_Brazil_vs_Serbia.jpg,2240px-Lusail_Iconic_Stadium%2C_Qatar.jpg,0.8354293256998062
data-quentes/copa_2022/,es,it,2240px-2022_FIFA_World_Cup_France_4%E2%80%931_Australia_-_%287%29.jpg,2240px-2022_FIFA_World_Cup_England_6%E2%80%932_Iran_-_%2829%29.jpg,0.6247902512550354
data-quentes/copa_2022/,pt,zh,2240px-Map_of_2018_FIFA_World_Cup_bids.svg.png,2240px-2022_FIFA_World_Cup_at_Al_Thumama_Stadium.jpg,0.8662551045417786
data-quentes/copa_2022/,pt,zh,2240px-17_11_2021_-_Visita_ao_Est%C3%A1dio_Lusail_%2851688281025%29.jpg,2240px-2022_world_cup.png,0.9230797737836838
data-quentes/copa_2022/,pt,en,2240px-Map_of_2018_FIFA_World_Cup_bids.svg.png,2240px-Lionel_Messi_in_2018.jpg,0.9156047850847244
data-quentes/copa_2022/,en,ru,2240px-Kylian_Mbapp%C3%A9_France.jpg,2240px-Al_Bayt_Stadium.jpg,0.9539763033390045
data-quentes/copa_2022/,pt,it,2240px-2022_FIFA_World_Cup.svg.png,2240px-Qatar_location_map.svg.png,0.876269243657589
data-quentes/copa_2022/,pt,es,2240px-2022_FIFA_World_Cup_Qatar_0%E2%80%932_Ecuador_-_%2821%29.jpg,2240px-Al_Janoub_Stadium.jpg,0.716747522354126
data-quentes/copa_2022/,es,ru,2240px-ARG_Line-up_-_ARG_vs_MEX_for_2022_FIFA_WC.jpg,2240px-Qatar_Doha_location_map.svg.png,0.9269336834549904
data-quentes/copa_2022/,es,ru,2240px-2022_FIFA_World_Cup_England_6%E2%80%932_Iran_-_%2812%29.jpg,2240px-Qatar_adm_location_map.svg.png,0.8932888209819794
data-quentes/copa_2022/,es,it,2240px-Kevin_De_Bruyne_WC2022.jpg,2240px-Lusail_Iconic_Stadium_-_2022_FIFA_WC.jpg,0.8378304690122604
data-quentes/copa_2022/,en,it,2240px-Al_Bayt_Stadium.jpg,2240px-Belgian_national_football_team_WC2022.jpg,0.8772384077310562
data-quentes/copa_2022/,es,it,2240px-2022_FIFA_World_Cup_Qatar_0%E2%80%932_Ecuador_-_%283%29.jpg,2240px-Al-rayyan-stadium.jpg,0.9036035090684891
data-quentes/copa_2022/,es,de,2240px-Rusia_entreg%C3%B3_el_relevo_de_la_antorcha_de_la_Copa_del_Mundo_a_Qatar.jpg,2240px-Flag_of_Argentina.svg.png,0.925427533686161
data-quentes/copa_2022/,es,de,2240px-Argentina_vs_mexico_atajada_dibu.jpg,2240px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%29.svg.png,0.945465687662363
data-quentes/copa_2022/,pt,zh,2240px-2022_FIFA_World_Cup_at_Al_Thumama_Stadium.jpg,2240px-2022_FIFA_World_Cup_at_Al_Thumama_Stadium.jpg,0.0
data-quentes/copa_2022/,en,es,2240px-Lionel_Messi_in_2018.jpg,2240px-Stade_de_Lusail_match_Brazil_vs_Serbia.jpg,0.9383302666246891
