article,original,compare,original_photo,compare_photo,distance
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-MA_Chidambaram_Stadium_In_the_Night_during_a_CSK_Game.jpg,0.9175684899091721
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Ekana_cricket_stadium_.jpg,0.9463747292757034
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Dharamshala_stadium%2Chimachal_pradesh.jpg,0.9570480845868587
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Eden_Garden_Stadium_Kolkata_MB01.jpg,0.9598484486341476
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Ekana_cricket_stadium_.jpg,0.9463747292757034
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Arun_Jaitley_Stadium_during_India_vs_Australia_2019_ODI.jpg,0.9435563087463379
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Dharamshala_stadium%2Chimachal_pradesh.jpg,0.9570480845868587
data-quentes/cricket_world_cup_2023/,pt,en,2240px-Flag_of_None.svg.png,2240px-2023_CWC_Logo.svg.png,0.9075069054961205
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-MA_Chidambaram_Stadium_in_the_Night.JPG,0.9463512115180492
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-2023_Cricket_World_Cup_participating_nations.svg.png,0.8926035687327385
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Icc_cricket_world_cup_trophy.jpg,0.9374526888132095
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-MA_Chidambaram_Stadium_In_the_Night_during_a_CSK_Game.jpg,0.9175684899091721
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Motera_Stadium_Ahmedabad_Panorama.jpg,0.9459799267351627
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Panorama_of_rajiv_gandhi_stadium.jpg,0.965082760900259
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Chinnaswamy_Stadium_May_2014.jpg,0.9346142113208771
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Wankhede_Stadium.jpg,0.9571718201041222
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Eden_Gardens%2C_Kolkata_%2805%29.jpg,0.9446816220879555
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Panorama_of_rajiv_gandhi_stadium.jpg,0.965082760900259
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Chinnaswamy_Stadium_May_2014.jpg,0.9346142113208771
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Arun_Jaitley_Stadium_during_India_vs_Australia_2019_ODI.jpg,0.9435563087463379
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Narendra_Modi_Stadium_view_from_the_gallery.jpg,0.9469030164182186
data-quentes/cricket_world_cup_2023/,pt,en,2240px-Flag_of_None.svg.png,2240px-2023_Cricket_World_Cup_participating_nations.svg.png,0.8926035687327385
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-India_vs_Australia_Test_Match_at_Bengaluru_%2813_March_2017%29.jpg,0.9511210806667805
data-quentes/cricket_world_cup_2023/,en,de,2240px-2023_CWC_Logo.svg.png,2240px-2023_Cricket_World_Cup_participating_nations.svg.png,0.8160819560289383
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Qualification_Pathway_for_2023_ICC_Cricket_World_Cup.png,0.9210036844015121
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-India_location_map.svg.png,0.8741338849067688
data-quentes/cricket_world_cup_2023/,en,es,2240px-2023_CWC_Logo.svg.png,2240px-COPA_MUNDIAL_DE_CRICKET_SEDES_INDIA_2023.jpg,0.8196780830621719
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Pune_Cricket_Stadium.jpg,0.93368960916996
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Pune_Cricket_Stadium.jpg,0.93368960916996
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Wankhede_Stadium_%2886312941%29.jpeg,0.9532812274992466
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Narendra_Modi_Stadium_view_from_the_gallery.jpg,0.9469030164182186
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Cricketwedstrijd.jpg,0.9570448286831379
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Wankhede_Stadium.jpg,0.9571718201041222
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-India_location_map2.svg.png,0.871740311384201
data-quentes/cricket_world_cup_2023/,pt,ru,2240px-Flag_of_None.svg.png,2240px-Panorama_of_rajiv_gandhi_stadium.jpg,0.965082760900259
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-Ekana_cricket_stadium_.jpg,0.9463747292757034
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Arun_Jaitley_Stadium_during_India_vs_Australia_2019_ODI.jpg,0.9435563087463379
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Sahara_Stadium_Pune_4.jpg,0.9202418252825737
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Dharamshala_Cricket_Stadium.jpg,0.9704950414597988
data-quentes/cricket_world_cup_2023/,en,es,2240px-India_location_map.svg.png,2240px-COPA_MUNDIAL_DE_CRICKET_SEDES_INDIA_2023.jpg,0.7964146584272385
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-2023_World_Cup_Total_Number_of_ODI_Caps_per_Team.svg.png,0.9101367071270943
data-quentes/cricket_world_cup_2023/,pt,it,2240px-Flag_of_None.svg.png,2240px-India_location_map.svg.png,0.8741338849067688
data-quentes/cricket_world_cup_2023/,pt,en,2240px-Flag_of_None.svg.png,2240px-India_location_map.svg.png,0.8741338849067688
data-quentes/cricket_world_cup_2023/,pt,es,2240px-Flag_of_None.svg.png,2240px-COPA_MUNDIAL_DE_CRICKET_SEDES_INDIA_2023.jpg,0.9123020693659782
data-quentes/cricket_world_cup_2023/,en,es,2240px-2023_Cricket_World_Cup_participating_nations.svg.png,2240px-COPA_MUNDIAL_DE_CRICKET_SEDES_INDIA_2023.jpg,0.8492274880409241
data-quentes/cricket_world_cup_2023/,pt,de,2240px-Flag_of_None.svg.png,2240px-Eden_Gardens%2C_Kolkata_%2805%29.jpg,0.9446816220879555
data-quentes/cricket_world_cup_2023/,en,de,2240px-2023_CWC_Logo.svg.png,2240px-Eden_Gardens%2C_Kolkata_%2805%29.jpg,0.9347967356443405
data-quentes/cricket_world_cup_2023/,en,de,2240px-2023_CWC_Logo.svg.png,2240px-Cricketwedstrijd.jpg,0.9317252486944199
data-quentes/cricket_world_cup_2023/,en,de,2240px-2023_CWC_Logo.svg.png,2240px-Arun_Jaitley_Stadium_during_India_vs_Australia_2019_ODI.jpg,0.9440076127648354
