article,original,compare,original_photo,compare_photo,distance
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Aereal_view_of_Florianopolis_SC_69_03_2006.jpg,0.673393040895462
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Alto_paraiso_-_panoramio.jpg,0.7372896671295166
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Avenida_Beira_Mar_Norte_Florianopolis.jpg,0.8542363196611404
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Avenida_Beira_Mar_em_Florian%C3%B3polis_a_noite_.jpg,0.8974029943346977
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Bandeira_de_Florian%C3%B3polis.svg.png,0.9203642904758453
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Bras%C3%A3o_de_Florian%C3%B3polis.png,0.9522592760622501
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Brazil_State_SantaCatarina.svg.png,0.8664297014474869
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Cambirela%2C_morro%2C_neve%2C_vista_do_morro_da_cruz_-_Daniel_Queiroz_-_23julho2013-IMG_6746.jpg,0.7950027585029602
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Escunas_em_Canasvieiras%2C_Florianopolis%2C_SC.jpg,0.8804111629724503
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Final_-_Camp._Catarinense_de_Futebol_2008.jpg,0.9191123992204666
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Florian%C3%B3polis_-_panoramio_%281140%29.jpg,0.819714292883873
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Florianopolis_%284396376372%29.jpg,0.7825410515069962
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Florianopolis_LagoaDaConceicao_South.jpg,0.6913736462593079
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Florianopolis_UFSC_pra%C3%A7a.JPG,0.8615900129079819
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Florianopolis_downtown_night2.jpg,0.8233978301286697
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Florianopolis_market_central_area.jpg,0.910068966448307
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Floripa_12_2014_Joaquina_Beach_830.JPG,0.857216402888298
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Floripa_Airport.jpg,0.7588530331850052
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Fortaleza_S%C3%A3o_Jos%C3%A9_Ponta_Grossa_3.jpg,0.8367796242237091
florianopolis,pt,en,2240px-%C3%81rea_de_preserva%C3%A7%C3%A3o_da_Lagoa_do_Peri.jpg,2240px-Mans%C3%B5es_.png,0.857709139585495
