article,original,compare,original_photo,compare_photo,distance
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-ACCear%C3%A1.png,0.0
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Aeroporto_Internacional_Pinto_Martins_%281%29.png,0.8754206076264381
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Alberto_Nepomuceno.png,0.9553694650530815
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Avi%C3%B5es_do_Forr%C3%B3.jpg,0.9433916732668877
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-BCB.png,0.8743886798620224
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-BR116_Viaduto_em_Fortaleza.jpg,0.9155573844909668
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Bai%C3%A3o_de_dois.jpg,0.9517138600349426
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Bandeira_de_Fortaleza.svg.png,0.9510735683143139
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Beach_Park.jpg,0.9087935760617256
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Bras%C3%A3o_de_Fortaleza.svg.png,0.937633503228426
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Brazil_Ceara_Fortaleza_location_map.svg.png,0.908558651804924
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Castel%C3%A3o_Arena_%283%29.jpg,0.9009400084614754
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Catedral_Metropolitana_de_Fortaleza_2017-7540.jpg,0.8097656965255737
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Centro_Drag%C3%A3o_do_Mar_%282%29.jpg,0.8835464715957642
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Ciclogravura.jpg,0.8861969858407974
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Entrada_do_Teatro.jpg,0.8155061304569244
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Fort_schoonenborch.jpg,0.954113382846117
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Fortaleza%2C_Brazil_%284%29_%28cropped%29.jpg,0.9086705148220062
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Fortaleza%2C_CE%2C_Brasil._Por_cima_-_panoramio.jpg,0.8664110004901886
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Fortaleza_%2811%29.png,0.880588173866272
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Fortaleza_aerea_arenacastelao.jpg,0.9535730145871639
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Hospital_S%C3%A3o_Mateus.png,0.8605369180440903
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Iracema_Guardi%C3%A3.jpg,0.9389171898365021
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Jose_de_Alencar.png,0.965556938201189
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Mapa_fortaleza_regionais_atualizada_com_marca%C3%A7%C3%A3o.png,0.9509684480726719
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Mapa_fortaleza_territ%C3%B3rios_com_marca%C3%A7%C3%A3o.png,0.9418220445513725
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Mausoleo_castelo_branco_%28cropped%29.jpg,0.8831671476364136
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Nslibano.jpg,0.8235739022493362
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Palacete_Cear%C3%A1.png,0.7848421335220337
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Parque_Ecol%C3%B3gico_do_Coc%C3%B3.png,0.921364039182663
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Plataforma_Esta%C3%A7%C3%A3o_Ant%C3%B4nio_Sales_02.jpg,0.93443913012743
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Ponte_dos_Ingleses_-_Ponte_Met%C3%A1lica.png,0.8623571842908859
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Pra%C3%A7a_do_Ferreira_com_coreto_1920.PNG,0.8205124884843826
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Rachel_de_Queiroz_-_N%C3%A3o_me_deixes_%282%29.png,0.950795117765665
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Relief_Map_of_Brazil.jpg,0.914796881377697
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Santa_Casa_de_Miseric%C3%B3rdia_de_Fortaleza.png,0.7620681077241898
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Secretaria_da_Fazenda_do_Estado_do_Cear%C3%A1.JPG,0.8084282428026199
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-South_America_laea_relief_location_map.jpg,0.9264274463057518
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Universidade_Federal_do_Cear%C3%A1.png,0.7739018052816391
fortaleza,pt,en,2240px-ACCear%C3%A1.png,2240px-Windsurf_em_Fortaleza_%282%29.png,0.9180799648165703
fortaleza,pt,en,2240px-Alberto_Nepomuceno.png,2240px-Aeroporto_Internacional_Pinto_Martins_%281%29.png,0.9084453582763672
fortaleza,pt,en,2240px-Alberto_Nepomuceno.png,2240px-Alberto_Nepomuceno.png,0.0
fortaleza,pt,en,2240px-Alberto_Nepomuceno.png,2240px-Avi%C3%B5es_do_Forr%C3%B3.jpg,0.9216626957058907
fortaleza,pt,en,2240px-Alberto_Nepomuceno.png,2240px-BCB.png,0.9499577283859253
fortaleza,pt,en,2240px-Alberto_Nepomuceno.png,2240px-BR116_Viaduto_em_Fortaleza.jpg,0.9399046935141087
fortaleza,pt,en,2240px-Alberto_Nepomuceno.png,2240px-Bai%C3%A3o_de_dois.jpg,0.9351512864232063
fortaleza,pt,en,2240px-Alberto_Nepomuceno.png,2240px-Bandeira_de_Fortaleza.svg.png,0.9189202561974525
