article,original,compare,original_photo,compare_photo,distance
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Aeroporto_de_Goi%C3%A2nia_-_01.JPG,0.8941117152571678
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Assembleia_de_Deus_Campinas_%283%29%2C_Goi%C3%A2nia%2C_outubro_de_2016.jpg,0.9179780930280685
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Av._85_Goi%C3%A2nia.jpg,0.9484975002706051
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Bandeira_de_Goi%C3%A2nia.svg.png,0.8621065616607666
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Bras%C3%A3o_de_Goi%C3%A2nia.svg.png,0.8591345995664597
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Brazil_Goias_Goiania_location_map.svg.png,0.7377514243125916
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Ccongyn.jpg,0.8688654601573944
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Corpus_Christi_em_Goi%C3%A2nia%2C_2005.jpg,0.9418536946177483
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Estacionamento_do_Flamboyant_Shopping_Center_%281%29%2C_Goi%C3%A2nia%2C_setembro_de_2016.jpg,0.9620069190859795
goiania,pt,en,2240px-Administra%C3%A7%C3%B5es_Regionais_de_Goi%C3%A2nia.jpg,2240px-Estadio-olimpico-pedro-ludovico-teixeira-go-ii.jpg,0.9423374384641647
