article,original,compare,original_photo,compare_photo,distance
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Bouncing_ball_strobe_edit.jpg,0.9531661048531532
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Brownian_motion_large.gif,0.9544907622039318
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Brownian_motion_large.png,0.9677648358047009
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Cyclotron_motion.jpg,0.9247131571173668
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Demonstrating_Chaos_with_a_Double_Pendulum.gif,0.9532930478453636
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Demonstrating_Chaos_with_a_Double_Pendulum.png,0.9565001875162125
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Free_body1.3.svg.png,0.9693633317947388
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Iridium-1_Launch_%2832312419215%29.jpg,0.9449166618287563
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Masocentro1.jpg,0.9422628991305828
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-NewtonsPrincipia.jpg,0.9193451032042503
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Newtons_laws_in_latin.jpg,0.9520104117691517
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Noether.jpg,0.9410089664161205
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Page_157_from_Mechanism_of_the_Heaven%2C_Mary_Somerville_1831.png,0.9744314327836037
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Portrait_of_Sir_Isaac_Newton%2C_1689.jpg,0.9551882892847061
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Simple_harmonic_motion_animation.gif,0.9427363686263561
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Simple_harmonic_motion_animation.png,0.9432523287832737
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Skylab_and_Earth_Limb_-_GPN-2000-001055.jpg,0.9391885809600353
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Space_Shuttle_Atlantis_launches_from_KSC_on_STS-132_side_view.jpg,0.928548164665699
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Three-body_Problem_Animation.gif,0.9501949660480022
leis_newton,pt,en,2240px-Caminh%C3%B5es_brinquedo_e_real.jpg,2240px-Three-body_Problem_Animation.png,0.9444158598780632
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Bouncing_ball_strobe_edit.jpg,0.904099240899086
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Brownian_motion_large.gif,0.8786093965172768
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Brownian_motion_large.png,0.8998570218682289
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Cyclotron_motion.jpg,0.9503022022545338
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Demonstrating_Chaos_with_a_Double_Pendulum.gif,0.8720492273569107
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Demonstrating_Chaos_with_a_Double_Pendulum.png,0.7821137756109238
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Free_body1.3.svg.png,0.7838265597820282
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Iridium-1_Launch_%2832312419215%29.jpg,0.9169777482748032
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Masocentro1.jpg,0.8839329108595848
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-NewtonsPrincipia.jpg,0.9362427443265915
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Newtons_laws_in_latin.jpg,0.8869244307279587
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Noether.jpg,0.8971349373459816
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Page_157_from_Mechanism_of_the_Heaven%2C_Mary_Somerville_1831.png,0.7990511208772659
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Portrait_of_Sir_Isaac_Newton%2C_1689.jpg,0.9629628881812096
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Simple_harmonic_motion_animation.gif,0.8140027225017548
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Simple_harmonic_motion_animation.png,0.817463755607605
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Skylab_and_Earth_Limb_-_GPN-2000-001055.jpg,0.8480840474367142
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Space_Shuttle_Atlantis_launches_from_KSC_on_STS-132_side_view.jpg,0.9404223039746284
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Three-body_Problem_Animation.gif,0.8536935895681381
leis_newton,pt,en,2240px-Cavalo_a_arrastar_um_bloco_de_350_kg..png,2240px-Three-body_Problem_Animation.png,0.6489792168140411
leis_newton,pt,en,2240px-Componentes_tangencial_e_normal_da_for%C3%A7a..png,2240px-Bouncing_ball_strobe_edit.jpg,0.925195224583149
leis_newton,pt,en,2240px-Componentes_tangencial_e_normal_da_for%C3%A7a..png,2240px-Brownian_motion_large.gif,0.9002624526619911
leis_newton,pt,en,2240px-Componentes_tangencial_e_normal_da_for%C3%A7a..png,2240px-Brownian_motion_large.png,0.8468725979328156
leis_newton,pt,en,2240px-Componentes_tangencial_e_normal_da_for%C3%A7a..png,2240px-Cyclotron_motion.jpg,0.8843871578574181
leis_newton,pt,en,2240px-Componentes_tangencial_e_normal_da_for%C3%A7a..png,2240px-Demonstrating_Chaos_with_a_Double_Pendulum.gif,0.7102098166942596
leis_newton,pt,en,2240px-Componentes_tangencial_e_normal_da_for%C3%A7a..png,2240px-Demonstrating_Chaos_with_a_Double_Pendulum.png,0.6256167590618134
leis_newton,pt,en,2240px-Componentes_tangencial_e_normal_da_for%C3%A7a..png,2240px-Free_body1.3.svg.png,0.7807513475418091
leis_newton,pt,en,2240px-Componentes_tangencial_e_normal_da_for%C3%A7a..png,2240px-Iridium-1_Launch_%2832312419215%29.jpg,0.8874601796269417
