article,original,compare,original_photo,compare_photo,distance
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Bandeira_de_Macap%C3%A1.svg.png,0.9303806200623512
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Brazil_Amapa_Macapa_location_map.svg.png,0.9007862582802773
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Brazil_State_Amapa.svg.png,0.9529096074402332
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Fortaleza_S%C3%A3o_Jos%C3%A9_de_Macap%C3%A1.jpg,0.9360816478729248
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Linha_do_Equador_Macap%C3%A1_AP%2CBrasil_-_panoramio.jpg,0.9152351468801498
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Macap%C3%A1_Montage_%282021%29.jpg,0.941390186548233
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-P%C3%B4r_do_Sol_no_Bailique.jpg,0.9320346191525459
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Relief_Map_of_Brazil.jpg,0.9293227791786194
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Saint_Joseph_Church%2C_Macap%C3%A1_city%2C_Brazil.jpg,0.9405783005058765
macapa,pt,en,2240px-25o_Premio_da_Musica_Brasileira_%2814190052895%29_%28cropped%29.jpg,2240px-Vista_do_centro_de_Macap%C3%A1.jpg,0.9718901477754116
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Bandeira_de_Macap%C3%A1.svg.png,0.9569762758910656
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Brazil_Amapa_Macapa_location_map.svg.png,0.9449972361326218
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Brazil_State_Amapa.svg.png,0.973845612257719
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Fortaleza_S%C3%A3o_Jos%C3%A9_de_Macap%C3%A1.jpg,0.9195929244160652
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Linha_do_Equador_Macap%C3%A1_AP%2CBrasil_-_panoramio.jpg,0.951708260923624
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Macap%C3%A1_Montage_%282021%29.jpg,0.881818413734436
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-P%C3%B4r_do_Sol_no_Bailique.jpg,0.9577024802565575
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Relief_Map_of_Brazil.jpg,0.9528678357601166
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Saint_Joseph_Church%2C_Macap%C3%A1_city%2C_Brazil.jpg,0.7853371649980545
macapa,pt,en,2240px-Aeroporto_Internacional_de_Macap%C3%A1.jpg,2240px-Vista_do_centro_de_Macap%C3%A1.jpg,0.8965779170393944
macapa,pt,en,2240px-Bacabeiras_Theater%2C_Macap%C3%A1_city%2C_Brazil.jpg,2240px-Bandeira_de_Macap%C3%A1.svg.png,0.9423784278333187
macapa,pt,en,2240px-Bacabeiras_Theater%2C_Macap%C3%A1_city%2C_Brazil.jpg,2240px-Brazil_Amapa_Macapa_location_map.svg.png,0.911347046494484
macapa,pt,en,2240px-Bacabeiras_Theater%2C_Macap%C3%A1_city%2C_Brazil.jpg,2240px-Brazil_State_Amapa.svg.png,0.9596040472388268
macapa,pt,en,2240px-Bacabeiras_Theater%2C_Macap%C3%A1_city%2C_Brazil.jpg,2240px-Fortaleza_S%C3%A3o_Jos%C3%A9_de_Macap%C3%A1.jpg,0.895333968102932
macapa,pt,en,2240px-Bacabeiras_Theater%2C_Macap%C3%A1_city%2C_Brazil.jpg,2240px-Linha_do_Equador_Macap%C3%A1_AP%2CBrasil_-_panoramio.jpg,0.942524254322052
