article,original,compare,original_photo,compare_photo,distance
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_03.jpg,0.5286194980144501
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Avenida_Entrecoqueiros.JPG,0.7327487468719482
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Bandeira_de_Macei%C3%B3.svg.png,0.9372735992074013
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Bloco-Pinto-da-Madrugada-nas-pr%C3%A9vias-de-2018-Foto-Marco-Antonio-Secom-Maceio.png,0.9055718779563904
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Brazil_Alagoas_Maceio_location_map.svg.png,0.9418855644762516
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Brazil_State_Alagoas.svg.png,0.9722655415534973
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Cidade_de_Macei%C3%B3-ALAGOAS.jpg,0.8777204006910324
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Macei%C3%B3%2C_Ponta_Verde..jpg,0.8754640221595764
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Macei%C3%B3_-_Alagoas_-_Brazil.jpg,0.920492060482502
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Macei%C3%B3_Brasil_Ponta_Verde_.jpg,0.903710164129734
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Macei%C3%B3_alagoas.jpg,0.8943580240011215
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Museu_de_Macei%C3%B3.jpg,0.8598190248012543
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Panorama_de_Macei%C3%B3.jpg,0.9174652248620987
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Porto_de_Macei%C3%B3_no_Jaragu%C3%A1%2C_Alagoas.jpg,0.8082154244184494
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Praia_Paju%C3%A7ara_Macei%C3%B3_04_2015_3258.JPG,0.850615993142128
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Praia_de_Ipioca_-_Macei%C3%B3_-_Alagoas_%2811394603505%29.jpg,0.8841075077652931
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Praia_de_Ipioca_-_Macei%C3%B3_-_Alagoas_%2811394615784%29.jpg,0.8638913929462433
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Relief_Map_of_Brazil.jpg,0.9527826830744743
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-TUDH_Bom_Sinal_Maceio-AL_27.06.2012_-_ELIAS_VIEIRA.png,0.8843917846679688
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Teatro_deodoro_de_alagoas.jpg,0.8541472107172012
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Vista_%C3%A1rea_metropolitana_de_Macei%C3%B3.jpg,0.8856290429830551
maceio,pt,en,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_04.jpg,2240px-Zagallo.jpg,0.9796056542545557
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Aeroporto_Internacional_Zumbi_dos_Palmares_-_03.jpg,0.8943289741873741
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Avenida_Entrecoqueiros.JPG,0.8172803223133087
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Bandeira_de_Macei%C3%B3.svg.png,0.9408248700201511
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Bloco-Pinto-da-Madrugada-nas-pr%C3%A9vias-de-2018-Foto-Marco-Antonio-Secom-Maceio.png,0.9166234135627747
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Brazil_Alagoas_Maceio_location_map.svg.png,0.9619663022458553
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Brazil_State_Alagoas.svg.png,0.9517912417650223
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Cidade_de_Macei%C3%B3-ALAGOAS.jpg,0.908713698387146
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Macei%C3%B3%2C_Ponta_Verde..jpg,0.8890977576375008
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Macei%C3%B3_-_Alagoas_-_Brazil.jpg,0.9308011755347252
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Macei%C3%B3_Brasil_Ponta_Verde_.jpg,0.8970279917120934
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Macei%C3%B3_alagoas.jpg,0.8648541122674942
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Museu_de_Macei%C3%B3.jpg,0.783281534910202
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Panorama_de_Macei%C3%B3.jpg,0.9167518988251686
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Porto_de_Macei%C3%B3_no_Jaragu%C3%A1%2C_Alagoas.jpg,0.8707263320684433
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Praia_Paju%C3%A7ara_Macei%C3%B3_04_2015_3258.JPG,0.8936464115977287
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Praia_de_Ipioca_-_Macei%C3%B3_-_Alagoas_%2811394603505%29.jpg,0.8714970499277115
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Praia_de_Ipioca_-_Macei%C3%B3_-_Alagoas_%2811394615784%29.jpg,0.890093170106411
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Relief_Map_of_Brazil.jpg,0.92247424274683
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-TUDH_Bom_Sinal_Maceio-AL_27.06.2012_-_ELIAS_VIEIRA.png,0.943001139909029
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Teatro_deodoro_de_alagoas.jpg,0.8994244933128357
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Vista_%C3%A1rea_metropolitana_de_Macei%C3%B3.jpg,0.9147059470415115
maceio,pt,en,2240px-Assembleia_Legislativa_-_panoramio.jpg,2240px-Zagallo.jpg,0.9675791561603546
