article,original,compare,original_photo,compare_photo,distance
matthew_perry,pt,fr,2240px-Matthew_Perry_ONDCP_White_House_-_Frame_Grab_-_Smile_%28cropped%29.png,2240px-Matthew_Perry_2013.jpg,0.6146880984306335
matthew_perry,pt,ru,2240px-Matthew_Perry_2010.jpg,2240px-Matthew_Perry_and_Valerie_Jarrett_in_support_of_Awareness_on_Drug_Courts_and_Reduce_Substance_Abuse_%28cropped%29_%282%29.jpg,0.7640280872583389
matthew_perry,pt,fr,2240px-Matthew_Perry_2010.jpg,2240px-Matthew_Perry_signature_%28background_free%29.png,0.9422441758215427
matthew_perry,pt,fr,2240px-Matthew_Perry_by_David_Shankbone_%28cropped%29.jpg,2240px-Matthew_Perry_leaving_rehearsal_%282078582750%29.jpg,0.9241060018539429
matthew_perry,pt,en,2240px-Matthew_Perry_by_David_Shankbone_%28cropped%29.jpg,2240px-Matthew_Perry_by_David_Shankbone_%28cropped%29.jpg,0.0
matthew_perry,pt,ru,2240px-Matthew_Perry_2010.jpg,2240px-Matthew_Perry_2010_Emmy.jpg,0.8519389480352402
matthew_perry,pt,fr,2240px-Matthew_Perry_by_David_Shankbone_%28cropped%29.jpg,2240px-Matthew_Perry_ONDCP_White_House_-_Frame_Grab_-_Smile_%28cropped%29.png,0.901878334581852
matthew_perry,pt,ru,2240px-Matthew_Perry_2010.jpg,2240px-Matthew_Perry_by_David_Shankbone_%28cropped%29.jpg,0.7245530784130096
matthew_perry,pt,zh,2240px-Matthew_Perry_by_David_Shankbone_%28cropped%29.jpg,2240px-Matthew_Perry_signature_%28background_free%29.png,0.9562531337141991
matthew_perry,pt,it,2240px-Matthew_Perry_2010.jpg,2240px-Matthew_Perry_and_Valerie_Jarrett_in_support_of_Awareness_on_Drug_Courts_and_Reduce_Substance_Abuse_%28cropped%29_%282%29.jpg,0.7640280872583389
