article,original,compare,original_photo,compare_photo,distance
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-%C3%81rea_Central_do_Forte.JPG,0.9237266629934311
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-26_Pr%C3%AAmio_da_M%C3%BAsica_Brasileira_%2818093630743%29.jpg,0.8858432471752167
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Aeroporto_S%C3%A3o_Gon%C3%A7alo_guich%C3%AAs.jpg,0.8860939741134644
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Arena_das_Dunas.jpg,0.8481022864580154
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Av._Sen._Salgado_Filho%2C_Natal%2C_Brazil.jpg,0.5979427099227905
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Bandeira_de_Natal.svg.png,0.8891973793506622
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Bras%C3%A3o_de_Natal.svg.png,0.9110564813017845
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Brazil_Rio_Grande_do_Norte_Natal_location_map.svg.png,0.8744868040084839
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Brazil_State_RioGrandedoNorte.svg.png,0.9247062504291534
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Buggues_em_Genipabu_%285303848087%29.jpg,0.8887473121285439
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-COMCT_T_DESTAQUE_ECT-Panor%C3%A2mica_17dez14_Anastacia-Vaz_1.jpg,0.9124689996242523
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Cavalo_Marinho_no_Aqu%C3%A1rio_Natal.jpg,0.9068795517086983
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Cruzex_IV_2008_Natal_-_RN_-_Brasil.jpg,0.8960499316453934
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Dunas_de_Genipabu.jpg,0.8587899953126907
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Dunas_do_Norte.jpg,0.9254245087504387
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Forte-reis-magos.jpg,0.8993465453386307
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Maior_cajueiro_do_mundo_1.jpg,0.9253265485167503
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Mapa_dos_bairros_e_zonas_de_Natal_%28RN%29.svg.png,0.8178365081548691
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Maracaja%C3%BA.jpg,0.9153344854712486
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Mirante_%C3%A0_espreita.JPG,0.9444802887737751
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Morro_do_Careca_-_Ponta_Negra%2C_Natal-RN.jpg,0.8747704178094864
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Morro_do_Careca_Natal_Brasil.jpg,0.8739988207817078
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-N%C3%A9lio_Dias_Gin%C3%A1sio.JPG,0.8620010763406754
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Natal%2C_capital_do_Rio_Grande_do_Norte%2C_Brasil.jpg,0.8572894036769867
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Natal_-_Rio_Grande_do_Norte_-_Brasil%283%29.jpg,0.8756699040532112
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Natal_aerial_view.jpg,0.8908923119306564
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Ponte_Newton_Navarro_-_Natal%2C_Brazil.jpg,0.8899916112422943
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Porto_de_Natal_a%C3%A9rea.jpg,0.8500099629163742
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Praia_Pipa.jpg,0.9020109325647354
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Praia_Shopping.jpg,0.7984746396541595
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Praia_dos_Artistas_-_Natal_%28RN%29.jpg,0.948050357401371
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Rampa-Natal.jpg,0.9111611619591713
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Relief_Map_of_Brazil.jpg,0.9360587745904922
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-South_America_laea_relief_location_map.jpg,0.911409929394722
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-TeatroAlbertoMaranhao.JPG,0.8898988738656044
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-U.S._President_Roosevelt_and_Brazilian_President_Getulio_Vargas_aboard_USS_Humboldt_%28AVP-21%29%2C_1943_%2825132077365%29.jpg,0.9350151494145393
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-VLT_Natal.jpg,0.8670754134654999
natal,pt,en,2240px-%C3%81rvore_de_natal_em_Natal-RN_%282016%29.jpg,2240px-Via_Costeira%2C_Natal_%28RN%29.jpg,0.8545550107955933
natal,pt,en,2240px-Amarante_2.jpg,2240px-%C3%81rea_Central_do_Forte.JPG,0.9085712879896164
natal,pt,en,2240px-Amarante_2.jpg,2240px-26_Pr%C3%AAmio_da_M%C3%BAsica_Brasileira_%2818093630743%29.jpg,0.9101686328649521
natal,pt,en,2240px-Amarante_2.jpg,2240px-Aeroporto_S%C3%A3o_Gon%C3%A7alo_guich%C3%AAs.jpg,0.8478265553712845
natal,pt,en,2240px-Amarante_2.jpg,2240px-Arena_das_Dunas.jpg,0.84870645403862
natal,pt,en,2240px-Amarante_2.jpg,2240px-Av._Sen._Salgado_Filho%2C_Natal%2C_Brazil.jpg,0.9287504628300667
natal,pt,en,2240px-Amarante_2.jpg,2240px-Bandeira_de_Natal.svg.png,0.9031636714935303
natal,pt,en,2240px-Amarante_2.jpg,2240px-Bras%C3%A3o_de_Natal.svg.png,0.9385141879320145
natal,pt,en,2240px-Amarante_2.jpg,2240px-Brazil_Rio_Grande_do_Norte_Natal_location_map.svg.png,0.9153187423944473
natal,pt,en,2240px-Amarante_2.jpg,2240px-Brazil_State_RioGrandedoNorte.svg.png,0.9519923888146877
natal,pt,en,2240px-Amarante_2.jpg,2240px-Buggues_em_Genipabu_%285303848087%29.jpg,0.8942274376749992
natal,pt,en,2240px-Amarante_2.jpg,2240px-COMCT_T_DESTAQUE_ECT-Panor%C3%A2mica_17dez14_Anastacia-Vaz_1.jpg,0.9019018039107323
natal,pt,en,2240px-Amarante_2.jpg,2240px-Cavalo_Marinho_no_Aqu%C3%A1rio_Natal.jpg,0.9249952882528305
natal,pt,en,2240px-Amarante_2.jpg,2240px-Cruzex_IV_2008_Natal_-_RN_-_Brasil.jpg,0.8660022765398026
natal,pt,en,2240px-Amarante_2.jpg,2240px-Dunas_de_Genipabu.jpg,0.8617943823337555
natal,pt,en,2240px-Amarante_2.jpg,2240px-Dunas_do_Norte.jpg,0.9096335247159004
natal,pt,en,2240px-Amarante_2.jpg,2240px-Forte-reis-magos.jpg,0.8418437242507935
natal,pt,en,2240px-Amarante_2.jpg,2240px-Maior_cajueiro_do_mundo_1.jpg,0.9241235703229904
natal,pt,en,2240px-Amarante_2.jpg,2240px-Mapa_dos_bairros_e_zonas_de_Natal_%28RN%29.svg.png,0.8845768049359322
natal,pt,en,2240px-Amarante_2.jpg,2240px-Maracaja%C3%BA.jpg,0.90899208933115
natal,pt,en,2240px-Amarante_2.jpg,2240px-Mirante_%C3%A0_espreita.JPG,0.9204684123396873
natal,pt,en,2240px-Amarante_2.jpg,2240px-Morro_do_Careca_-_Ponta_Negra%2C_Natal-RN.jpg,0.9108851999044418
natal,pt,en,2240px-Amarante_2.jpg,2240px-Morro_do_Careca_Natal_Brasil.jpg,0.92244902998209
natal,pt,en,2240px-Amarante_2.jpg,2240px-N%C3%A9lio_Dias_Gin%C3%A1sio.JPG,0.8911354467272758
natal,pt,en,2240px-Amarante_2.jpg,2240px-Natal%2C_capital_do_Rio_Grande_do_Norte%2C_Brasil.jpg,0.8246133029460907
