article,original,compare,original_photo,compare_photo,distance
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-171201_182240_Stein_VivaFoto.jpg,0.9392382614314556
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-2019_06_13_-_MCT_-_Exposi%C3%A7%C3%A3o-6762.jpg,0.9540591724216938
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-A_moderna_rodovi%C3%A1ria_envelheceu%3F_%2815658745908%29.jpg,0.918128989636898
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-Aeromovel_00.JPG,0.9297100529074669
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-Arena_do_Gr%C3%AAmio.jpg,0.9065648689866066
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-Av._Oswaldo_Aranha_-_Porto_Alegre_-_panoramio_-_Andervaz.jpg,0.9547755122184753
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-Bandeira_de_Porto_Alegre.svg.png,0.9329482838511467
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,0.918479323387146
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-Brazil_Rio_Grande_do_Sul_Porto_Alegre_location_map.svg.png,0.9263819679617882
porto_alegre,pt,en,2240px-2013_10_Por_do_sol%2C_praia_de_Ipanema%2C_Porto_Alegre.jpg,2240px-Brazil_State_RioGrandedoSul.svg.png,0.9349411129951477
