article,original,compare,original_photo,compare_photo,distance
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Animated_gif_version_of_SVG_of_rearrangement_proof_of_Pythagorean_theorem.gif,0.724214643239975
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Animated_gif_version_of_SVG_of_rearrangement_proof_of_Pythagorean_theorem.png,0.7145959436893463
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Chinese_pythagoras.jpg,0.8835284486413002
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Complex_conjugate_picture.svg.png,0.795979306101799
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Cross_product_parallelogram.svg.png,0.7878378927707672
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Einstein-trigonometric-proof.svg.png,0.7907041609287262
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Euclid_Corollary_5.svg.png,0.7454891502857208
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Hyperbolic_triangle.svg.png,0.798751100897789
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Illustration_to_Euclid%27s_proof_of_the_Pythagorean_theorem.svg.png,0.5770701467990875
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Illustration_to_Euclid%27s_proof_of_the_Pythagorean_theorem2.svg.png,0.6238973438739777
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Illustration_to_Euclid%27s_proof_of_the_Pythagorean_theorem3.svg.png,0.6071482300758362
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Law_of_cosines2.svg.png,0.8572422564029694
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Line_elements2.svg.png,0.8685109317302704
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Parallelogram_equality.svg.png,0.7583222836256027
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Plimpton_322.jpg,0.8796037957072258
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Pythag_differential_proof.svg.png,0.7742050141096115
teorema_pitagoras,pt,en,2240px-Areaspitagoras01.svg.png,2240px-Pythagoras-2a.gif,0.7984473258256912
