article,original,compare,original_photo,compare_photo,distance
teoria_conjuntos,pt,en,2240px-Venn_A_intersect_B.svg.png,2240px-Georg_Cantor_1894.jpg,0.9416392929852009
teoria_conjuntos,pt,en,2240px-Venn_A_intersect_B.svg.png,2240px-Venn_A_intersect_B.svg.png,0.0
teoria_conjuntos,pt,en,2240px-Venn_A_intersect_B.svg.png,2240px-Von_Neumann_Hierarchy.svg.png,0.799604743719101
teoria_conjuntos,pt,en,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Georg_Cantor_1894.jpg,0.9387911260128021
teoria_conjuntos,pt,en,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Von_Neumann_Hierarchy.svg.png,0.0
teoria_conjuntos,pt,es,2240px-Venn_A_intersect_B.svg.png,2240px-Georg_Cantor_1894.jpg,0.9416392929852009
teoria_conjuntos,pt,es,2240px-Venn_A_intersect_B.svg.png,2240px-Venn_A_intersect_B.svg.png,0.0
teoria_conjuntos,pt,es,2240px-Venn_A_intersect_B.svg.png,2240px-Von_Neumann_Hierarchy.svg.png,0.799604743719101
teoria_conjuntos,pt,es,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Georg_Cantor_1894.jpg,0.9387911260128021
teoria_conjuntos,pt,es,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Von_Neumann_Hierarchy.svg.png,0.0
teoria_conjuntos,pt,de,2240px-Venn_A_intersect_B.svg.png,2240px-Set_subsetAofB.svg.png,0.6410321891307831
teoria_conjuntos,pt,de,2240px-Venn_A_intersect_B.svg.png,2240px-Venn0001.svg.png,0.5886754989624023
teoria_conjuntos,pt,de,2240px-Venn_A_intersect_B.svg.png,2240px-Venn0100.svg.png,0.5840792059898376
teoria_conjuntos,pt,de,2240px-Venn_A_intersect_B.svg.png,2240px-Venn0110.svg.png,0.5339124798774719
teoria_conjuntos,pt,de,2240px-Venn_A_intersect_B.svg.png,2240px-Venn0111.svg.png,0.521814376115799
teoria_conjuntos,pt,de,2240px-Venn_A_intersect_B.svg.png,2240px-Veranschaulichung_einer_Menge.svg.png,0.7201931774616241
teoria_conjuntos,pt,de,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Set_subsetAofB.svg.png,0.8545730412006378
teoria_conjuntos,pt,de,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Venn0001.svg.png,0.8341237306594849
teoria_conjuntos,pt,de,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Venn0100.svg.png,0.8390200585126877
teoria_conjuntos,pt,de,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Venn0110.svg.png,0.8725217133760452
teoria_conjuntos,pt,de,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Venn0111.svg.png,0.8530742973089218
teoria_conjuntos,pt,de,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Veranschaulichung_einer_Menge.svg.png,0.8810717016458511
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-3D_Cantor_set.jpg,0.8805686980485916
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-Berlin-Uhr_Budapester_Str_45_%28Charl%29_Berlin-Uhr.jpg,0.9519103243947029
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-Cantor-bernstein.svg.png,0.699971616268158
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-Cartesian_Product_qtl1.svg.png,0.7974071651697159
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-Diagonal_argument.svg.png,0.8283612132072449
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-Georg_Cantor3.jpg,0.9543850682675838
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-Omega-exp-omega-labeled.svg.png,0.7949364930391312
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-Venn_A_intersect_B.svg.png,0.0
teoria_conjuntos,pt,ru,2240px-Venn_A_intersect_B.svg.png,2240px-Venn_diagram_showing_Greek%2C_Latin_and_Cyrillic_letters.svg.png,0.717310905456543
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-3D_Cantor_set.jpg,0.8645573407411575
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Berlin-Uhr_Budapester_Str_45_%28Charl%29_Berlin-Uhr.jpg,0.9334096014499664
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Cantor-bernstein.svg.png,0.8591073602437973
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Cartesian_Product_qtl1.svg.png,0.8282307684421539
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Diagonal_argument.svg.png,0.8301802575588226
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Georg_Cantor3.jpg,0.9367309361696243
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Omega-exp-omega-labeled.svg.png,0.8016135841608047
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Venn_A_intersect_B.svg.png,0.799604743719101
teoria_conjuntos,pt,ru,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Venn_diagram_showing_Greek%2C_Latin_and_Cyrillic_letters.svg.png,0.7369381487369537
teoria_conjuntos,pt,zh,2240px-Venn_A_intersect_B.svg.png,2240px-Georg_Cantor_1894.jpg,0.9416392929852009
teoria_conjuntos,pt,zh,2240px-Venn_A_intersect_B.svg.png,2240px-Venn_A_intersect_B.svg.png,0.0
teoria_conjuntos,pt,zh,2240px-Venn_A_intersect_B.svg.png,2240px-Von_Neumann_Hierarchy.svg.png,0.799604743719101
teoria_conjuntos,pt,zh,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Georg_Cantor_1894.jpg,0.9387911260128021
teoria_conjuntos,pt,zh,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Von_Neumann_Hierarchy.svg.png,0.0
teoria_conjuntos,pt,fr,2240px-Venn_A_intersect_B.svg.png,2240px-Georg_Cantor_1894.jpg,0.9416392929852009
teoria_conjuntos,pt,fr,2240px-Venn_A_intersect_B.svg.png,2240px-Venn_A_intersect_B.svg.png,0.0
teoria_conjuntos,pt,fr,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Georg_Cantor_1894.jpg,0.9387911260128021
teoria_conjuntos,pt,fr,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Venn_A_intersect_B.svg.png,0.799604743719101
teoria_conjuntos,en,es,2240px-Georg_Cantor_1894.jpg,2240px-Georg_Cantor_1894.jpg,0.0
teoria_conjuntos,en,es,2240px-Georg_Cantor_1894.jpg,2240px-Venn_A_intersect_B.svg.png,0.9416392929852009
teoria_conjuntos,en,es,2240px-Georg_Cantor_1894.jpg,2240px-Von_Neumann_Hierarchy.svg.png,0.9387911260128021
teoria_conjuntos,en,es,2240px-Venn_A_intersect_B.svg.png,2240px-Venn_A_intersect_B.svg.png,0.0
teoria_conjuntos,en,es,2240px-Venn_A_intersect_B.svg.png,2240px-Von_Neumann_Hierarchy.svg.png,0.799604743719101
teoria_conjuntos,en,es,2240px-Von_Neumann_Hierarchy.svg.png,2240px-Von_Neumann_Hierarchy.svg.png,0.0
teoria_conjuntos,en,de,2240px-Georg_Cantor_1894.jpg,2240px-Set_subsetAofB.svg.png,0.9281067922711372
teoria_conjuntos,en,de,2240px-Georg_Cantor_1894.jpg,2240px-Venn0001.svg.png,0.9161069393157959
teoria_conjuntos,en,de,2240px-Georg_Cantor_1894.jpg,2240px-Venn0100.svg.png,0.9173824042081833
teoria_conjuntos,en,de,2240px-Georg_Cantor_1894.jpg,2240px-Venn0110.svg.png,0.9172329530119896
teoria_conjuntos,en,de,2240px-Georg_Cantor_1894.jpg,2240px-Venn0111.svg.png,0.9162442982196808
teoria_conjuntos,en,de,2240px-Georg_Cantor_1894.jpg,2240px-Veranschaulichung_einer_Menge.svg.png,0.9498162865638733
teoria_conjuntos,en,de,2240px-Venn_A_intersect_B.svg.png,2240px-Set_subsetAofB.svg.png,0.6410321891307831
teoria_conjuntos,en,de,2240px-Venn_A_intersect_B.svg.png,2240px-Venn0001.svg.png,0.5886754989624023
