article,original,compare,original_photo,compare_photo,distance
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Bandeira_de_Teresina.svg.png,0.9199634492397308
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Brazil_Piaui_Teresina_location_map.svg.png,0.9263010248541832
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Brazil_State_Piaui.svg.png,0.9669246412813663
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Brazil_location_map.svg.png,0.9387766905128956
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Embraer_E195-E2_PR-PJN_Azul_no_Aeroporto_de_Teresina_-_Senador_Petr%C3%B4nio_Portella_.jpg,0.800583079457283
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Esta%C3%A7%C3%A3o_Metro_de_Teresina.JPG,0.9116361513733864
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-ISS_Teresina%2C_Brazil.jpg,0.9495677277445793
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Interno_do_est%C3%A1dio_Albert%C3%A3o_Teresina.JPG,0.9010243117809296
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Montagem_Teresina.jpg,0.8007844686508179
teresina,pt,en,2240px-Aeroporto_teresina_pi_brasil.jpg,2240px-Vista_do_mirante_da_ponte_estaiada_de_Teresina.jpg,0.8218303471803665
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Bandeira_de_Teresina.svg.png,0.0
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Brazil_Piaui_Teresina_location_map.svg.png,0.8741683214902878
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Brazil_State_Piaui.svg.png,0.8820518031716347
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Brazil_location_map.svg.png,0.8586150407791138
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Embraer_E195-E2_PR-PJN_Azul_no_Aeroporto_de_Teresina_-_Senador_Petr%C3%B4nio_Portella_.jpg,0.899087592959404
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Esta%C3%A7%C3%A3o_Metro_de_Teresina.JPG,0.9360492452979088
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-ISS_Teresina%2C_Brazil.jpg,0.9254757389426231
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Interno_do_est%C3%A1dio_Albert%C3%A3o_Teresina.JPG,0.9303004071116447
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Montagem_Teresina.jpg,0.9047566130757332
teresina,pt,en,2240px-Bandeira_de_Teresina.svg.png,2240px-Vista_do_mirante_da_ponte_estaiada_de_Teresina.jpg,0.9384270757436752
teresina,pt,en,2240px-Brazil_Piaui_Teresina_location_map.svg.png,2240px-Brazil_Piaui_Teresina_location_map.svg.png,0.0
teresina,pt,en,2240px-Brazil_Piaui_Teresina_location_map.svg.png,2240px-Brazil_State_Piaui.svg.png,0.730095773935318
teresina,pt,en,2240px-Brazil_Piaui_Teresina_location_map.svg.png,2240px-Brazil_location_map.svg.png,0.7642233222723007
