article,original,compare,original_photo,compare_photo,distance
termodinamica,pt,en,2240px-Convection.gif,2240px-Carnot_engine_%28hot_body_-_working_body_-_cold_body%29.jpg,0.8913274481892586
termodinamica,pt,en,2240px-Convection.gif,2240px-Carnot_heat_engine_2.svg.png,0.8728984445333481
termodinamica,pt,en,2240px-Convection.gif,2240px-Eight_founding_schools.png,0.9033555760979652
termodinamica,pt,en,2240px-Convection.gif,2240px-Kurzzeitfotografie_sektkorken_06-19-s02_2017-09-03_01_hinnerk-ruemenapf_exif.jpg,0.8922572359442711
termodinamica,pt,en,2240px-Convection.gif,2240px-System_boundary.svg.png,0.8473369926214218
termodinamica,pt,en,2240px-Convection.png,2240px-Carnot_engine_%28hot_body_-_working_body_-_cold_body%29.jpg,0.8906132951378822
termodinamica,pt,en,2240px-Convection.png,2240px-Carnot_heat_engine_2.svg.png,0.8724911063909531
termodinamica,pt,en,2240px-Convection.png,2240px-Eight_founding_schools.png,0.9001356810331345
termodinamica,pt,en,2240px-Convection.png,2240px-Kurzzeitfotografie_sektkorken_06-19-s02_2017-09-03_01_hinnerk-ruemenapf_exif.jpg,0.8909135907888412
termodinamica,pt,en,2240px-Convection.png,2240px-System_boundary.svg.png,0.8388207405805588
termodinamica,pt,en,2240px-Eight_founding_schools.png,2240px-Carnot_engine_%28hot_body_-_working_body_-_cold_body%29.jpg,0.8517235666513443
termodinamica,pt,en,2240px-Eight_founding_schools.png,2240px-Carnot_heat_engine_2.svg.png,0.7815079689025879
termodinamica,pt,en,2240px-Eight_founding_schools.png,2240px-Eight_founding_schools.png,0.0
termodinamica,pt,en,2240px-Eight_founding_schools.png,2240px-Kurzzeitfotografie_sektkorken_06-19-s02_2017-09-03_01_hinnerk-ruemenapf_exif.jpg,0.974997004494071
termodinamica,pt,en,2240px-Eight_founding_schools.png,2240px-System_boundary.svg.png,0.8999243006110191
termodinamica,pt,en,2240px-Isobaric_process.png,2240px-Carnot_engine_%28hot_body_-_working_body_-_cold_body%29.jpg,0.863556757569313
termodinamica,pt,en,2240px-Isobaric_process.png,2240px-Carnot_heat_engine_2.svg.png,0.7932516783475876
termodinamica,pt,en,2240px-Isobaric_process.png,2240px-Eight_founding_schools.png,0.6855897903442383
termodinamica,pt,en,2240px-Isobaric_process.png,2240px-Kurzzeitfotografie_sektkorken_06-19-s02_2017-09-03_01_hinnerk-ruemenapf_exif.jpg,0.9071488827466965
termodinamica,pt,en,2240px-Isobaric_process.png,2240px-System_boundary.svg.png,0.7675895690917969
termodinamica,pt,en,2240px-Isothermal_process.png,2240px-Carnot_engine_%28hot_body_-_working_body_-_cold_body%29.jpg,0.8304125219583511
termodinamica,pt,en,2240px-Isothermal_process.png,2240px-Carnot_heat_engine_2.svg.png,0.8621967732906342
termodinamica,pt,en,2240px-Isothermal_process.png,2240px-Eight_founding_schools.png,0.8343607783317566
termodinamica,pt,en,2240px-Isothermal_process.png,2240px-Kurzzeitfotografie_sektkorken_06-19-s02_2017-09-03_01_hinnerk-ruemenapf_exif.jpg,0.953042522072792
termodinamica,pt,en,2240px-Isothermal_process.png,2240px-System_boundary.svg.png,0.8791966065764427
termodinamica,pt,en,2240px-Thermodynamics.png,2240px-Carnot_engine_%28hot_body_-_working_body_-_cold_body%29.jpg,0.8020295649766922
