article,original,compare,original_photo,compare_photo,distance
uk_russia_war,pt,en,2240px-%D0%A0%D0%BE%D1%81%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D1%82%D0%B5%D1%85%D0%BD%D1%96%D0%BA%D0%B0%2C_%D0%BC%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B0%D0%BD%D0%B0_V.jpg,2240px-2022_Russian_invasion_of_Ukraine.svg.png,0.9086744785308838
uk_russia_war,pt,en,2240px-%D0%A0%D0%BE%D1%81%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D1%82%D0%B5%D1%85%D0%BD%D1%96%D0%BA%D0%B0%2C_%D0%BC%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B0%D0%BD%D0%B0_V.jpg,2240px-Battle_of_Kyiv_%282022%29.svg.png,0.8844267353415489
uk_russia_war,pt,en,2240px-%D0%A0%D0%BE%D1%81%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D1%82%D0%B5%D1%85%D0%BD%D1%96%D0%BA%D0%B0%2C_%D0%BC%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B0%D0%BD%D0%B0_V.jpg,2240px-Map_of_Ukraine_with_Cities.png,0.9317197948694229
uk_russia_war,pt,en,2240px-%D0%A0%D0%BE%D1%81%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D1%82%D0%B5%D1%85%D0%BD%D1%96%D0%BA%D0%B0%2C_%D0%BC%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B0%D0%BD%D0%B0_V.jpg,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,0.9224805757403374
uk_russia_war,pt,en,2240px-2022_Russian_invasion_of_Ukraine_Photo_Montage.jpg,2240px-2022_Russian_invasion_of_Ukraine.svg.png,0.8842308521270752
uk_russia_war,pt,en,2240px-2022_Russian_invasion_of_Ukraine_Photo_Montage.jpg,2240px-Battle_of_Kyiv_%282022%29.svg.png,0.9154753386974335
uk_russia_war,pt,en,2240px-2022_Russian_invasion_of_Ukraine_Photo_Montage.jpg,2240px-Map_of_Ukraine_with_Cities.png,0.8787353038787842
uk_russia_war,pt,en,2240px-2022_Russian_invasion_of_Ukraine_Photo_Montage.jpg,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,0.8008164614439011
uk_russia_war,pt,en,2240px-Euromaidan_Kyiv_1-12-13_by_Gnatoush_005.jpg,2240px-2022_Russian_invasion_of_Ukraine.svg.png,0.8851122409105301
uk_russia_war,pt,en,2240px-Euromaidan_Kyiv_1-12-13_by_Gnatoush_005.jpg,2240px-Battle_of_Kyiv_%282022%29.svg.png,0.8972504809498787
uk_russia_war,pt,en,2240px-Euromaidan_Kyiv_1-12-13_by_Gnatoush_005.jpg,2240px-Map_of_Ukraine_with_Cities.png,0.9096704125404358
uk_russia_war,pt,en,2240px-Euromaidan_Kyiv_1-12-13_by_Gnatoush_005.jpg,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,0.9065450057387352
uk_russia_war,pt,en,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,2240px-2022_Russian_invasion_of_Ukraine.svg.png,0.8648451268672943
uk_russia_war,pt,en,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,2240px-Battle_of_Kyiv_%282022%29.svg.png,0.8316855877637863
uk_russia_war,pt,en,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,2240px-Map_of_Ukraine_with_Cities.png,0.6335186064243317
uk_russia_war,pt,en,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,0.0
uk_russia_war,pt,en,2240px-Russo-Ukrainian_War_Flag.svg.png,2240px-2022_Russian_invasion_of_Ukraine.svg.png,0.872022733092308
uk_russia_war,pt,en,2240px-Russo-Ukrainian_War_Flag.svg.png,2240px-Battle_of_Kyiv_%282022%29.svg.png,0.9120665043592453
uk_russia_war,pt,en,2240px-Russo-Ukrainian_War_Flag.svg.png,2240px-Map_of_Ukraine_with_Cities.png,0.8725006580352783
uk_russia_war,pt,en,2240px-Russo-Ukrainian_War_Flag.svg.png,2240px-Russian_forces_near_Ukraine%2C_2021-12-03_%28crop%29.jpg,0.8030774593353271
uk_russia_war,pt,es,2240px-%D0%A0%D0%BE%D1%81%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D1%82%D0%B5%D1%85%D0%BD%D1%96%D0%BA%D0%B0%2C_%D0%BC%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B0%D0%BD%D0%B0_V.jpg,2240px-%D0%96%D0%B8%D0%B2%D0%B8%D0%B9_%D0%BB%D0%B0%D0%BD%D1%86%D1%8E%D0%B3.JPG,0.881598174571991
