article,original,compare,original_photo,compare_photo,distance
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Aeroporto_de_vitoria.jpg,0.9160424843430519
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Bandeira_de_Vit%C3%B3ria.svg.png,0.9648036062717438
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Brazil_State_EspiritoSanto.svg.png,0.9113864749670029
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Convento_da_Penha_-_Vila_Velha_-_ES_-_panoramio_%2821%29.jpg,0.9011702686548233
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Convento_da_Penha_-_Vila_Velha_-_ES_-_panoramio_%2827%29.jpg,0.9402031749486923
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Crep%C3%BAsculo_na_baia_de_Vit%C3%B3ria.JPG,0.8774374201893806
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-EspiritoSanto_Municip_Vitoria.svg.png,0.9072516411542892
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Novo_Aeroporto_de_VIX.png,0.939409464597702
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Orla_de_Vitoria2.JPG,0.8714919686317444
vitoria,pt,en,2240px-AMR-PRAIA_DE_CAMBURI_VISTO_A_BORDO_DE_UM_JATO_DA_GOL_-_panoramio.jpg,2240px-Pal%C3%A1cio_Anchieta_Vit%C3%B3ria_Esp%C3%ADrito_Santo_2019-4649.jpg,0.9095697924494743
