type,article,pt,en,es,de,it,ru,zh,fr
decay,copa_2022,7.022753184398337,6.208441702211048,22.4378722202085,9.65999039433189,11.115960769613471,7.967439052549826,9.624900917003318,6.5779645777264415
growth,copa_2022,3.430465293589934,2.257429716520924,5.378332162177293,2.622557672853617,3.22465705911336,4.48006704828874,4.827340101351617,4.222456524472412
parabola,copa_2022,7.767884651109698,6.523189361853001,23.078087800372543,9.869822167426527,11.651260463230196,8.922402292355823,10.579864156809315,7.323096044437802
simple,copa_2022,16.0,13.0,44.0,19.0,22.0,19.0,23.0,15.0
decay,matthew_perry,1.8090011354691258,3.749935998235144,1.2370256831092403,1.6844797052030662,0.14810122043872384,2.707947874841505,0.42802454764011433,4.19739002032897
growth,matthew_perry,0.6961745746444586,2.4040878809070154,1.7006656645382778,1.4639276712282936,0.7273773492952167,1.7125067230928437,1.112216563043925,2.167349887597031
parabola,matthew_perry,1.9139170220164434,4.539043900186272,2.0261335850603683,2.368671720606877,0.7273773492952167,3.497055776792633,1.112216563043925,4.88158203573278
simple,matthew_perry,4.0,8.0,4.0,4.0,1.0,7.0,2.0,8.0
decay,elizabeth_II,28.236756629871984,16.53545281207698,18.746866471415554,13.499309213346201,32.260686307239965,39.82803231636425,38.26744198482069,14.51202565354317
growth,elizabeth_II,12.737474389433261,9.8234880111208,14.509869506904012,11.569025260843773,14.606315265620381,15.24979032657923,16.374994574816945,13.07023264889931
parabola,elizabeth_II,33.67528731709429,20.815431241586296,25.31069324199121,20.388603904443947,38.140321062411815,46.61241112091468,44.83126875539635,20.022216052953162
simple,elizabeth_II,63.0,37.0,46.0,37.0,72.0,85.0,83.0,36.0
decay,uk_russia_war,4.454754698590433,2.5669712616343574,23.62512687816983,22.454754698590435,6.170372179579395,1.0,9.897749528874613,2.1821320478856494
growth,uk_russia_war,0.6193788603277641,0.7242269885175621,3.2859562270109617,2.558437377029663,1.2661462157318262,0.10772547315010547,1.737423855620866,0.4443036613161715
parabola,uk_russia_war,4.454754698590433,2.5669712616343574,23.62512687816983,22.454754698590435,6.170372179579395,1.0,9.897749528874613,2.1821320478856494
simple,uk_russia_war,8.0,4.0,46.0,44.0,12.0,2.0,19.0,3.0
decay,cricket_world_cup_2023,1.0,2.1122165630439245,1.0,13.955905145410082,7.592791891886165,6.8654145425909485,0.0,0.0
growth,cricket_world_cup_2023,0.10772547315010547,0.5357500207902198,0.10772547315010547,2.4678200505624726,2.131071421255037,1.9829702008163133,0.0,0.0
parabola,cricket_world_cup_2023,1.0,2.1122165630439245,1.0,13.955905145410082,7.592791891886165,6.8654145425909485,0.0,0.0
simple,cricket_world_cup_2023,2.0,4.0,2.0,27.0,12.0,11.0,0.0,0.0
decay,jeffrey_dahmer,0.49256468689881355,8.21994203619403,1.8351028224453219,3.4925646868988136,0.49256468689881355,1.1077254731501054,0.10772547315010544,0.10772547315010544
growth,jeffrey_dahmer,1.2799233272013906,2.182102859690853,1.2558266935888291,1.6030997466517067,1.2799233272013906,1.1077254731501054,1.0,1.0
parabola,jeffrey_dahmer,1.384839213748708,9.112216563043924,2.7273773492952165,4.384839213748708,1.384839213748708,2.0,1.0,1.0
simple,jeffrey_dahmer,2.0,17.0,4.0,8.0,2.0,3.0,1.0,1.0
